no,word,subjCode,task,rating,category,stratum,etymology,common.onom.shape
15191,asleep,W63,written,-2,adjective,Germanic,non-imitative,no
15192,asleep,W178,written,0,adjective,Germanic,non-imitative,no
15193,asleep,W43,written,0,adjective,Germanic,non-imitative,no
15194,asleep,W156,written,3,adjective,Germanic,non-imitative,no
15195,asleep,W158,written,-1,adjective,Germanic,non-imitative,no
15196,asleep,W34,written,3,adjective,Germanic,non-imitative,no
15197,asleep,W174,written,0,adjective,Germanic,non-imitative,no
15198,asleep,W15,written,2,adjective,Germanic,non-imitative,no
15199,asleep,W31,written,0,adjective,Germanic,non-imitative,no
15200,asleep,W18,written,0,adjective,Germanic,non-imitative,no
15201,asleep,W93,written,0,adjective,Germanic,non-imitative,no
15235,awake,W271,written,2,adjective,Germanic,non-imitative,no
15236,awake,W287,written,2,adjective,Germanic,non-imitative,no
15237,awake,W321,written,0,adjective,Germanic,non-imitative,no
15238,awake,W355,written,5,adjective,Germanic,non-imitative,no
15239,awake,W263,written,0,adjective,Germanic,non-imitative,no
15240,awake,W346,written,3,adjective,Germanic,non-imitative,no
15241,awake,W292,written,1,adjective,Germanic,non-imitative,no
15242,awake,W339,written,5,adjective,Germanic,non-imitative,no
15243,awake,W230,written,-1,adjective,Germanic,non-imitative,no
15244,awake,W353,written,4,adjective,Germanic,non-imitative,no
15291,bad,W432,written,0,adjective,Germanic,non-imitative,yes
15292,bad,W196,written,-1,adjective,Germanic,non-imitative,yes
15293,bad,W438,written,4,adjective,Germanic,non-imitative,yes
15294,bad,W158,written,1,adjective,Germanic,non-imitative,yes
15295,bad,W441,written,4,adjective,Germanic,non-imitative,yes
15296,bad,W204,written,0,adjective,Germanic,non-imitative,yes
15297,bad,W77,written,0,adjective,Germanic,non-imitative,yes
15298,bad,W436,written,1,adjective,Germanic,non-imitative,yes
15299,bad,W165,written,0,adjective,Germanic,non-imitative,yes
15300,bad,W202,written,1,adjective,Germanic,non-imitative,yes
15301,bad,W32,written,3,adjective,Germanic,non-imitative,yes
15302,bad,W97,written,-2,adjective,Germanic,non-imitative,yes
15303,bad,W144,written,-4,adjective,Germanic,non-imitative,yes
15304,bad,W15,written,0,adjective,Germanic,non-imitative,yes
15305,bad,W4,written,0,adjective,Germanic,non-imitative,yes
15306,bad,W439,written,2,adjective,Germanic,non-imitative,yes
15538,better,W357,written,2,adjective,Germanic,non-imitative,no
15539,better,W388,written,3,adjective,Germanic,non-imitative,no
15540,better,W302,written,-2,adjective,Germanic,non-imitative,no
15541,better,W293,written,1,adjective,Germanic,non-imitative,no
15542,better,W368,written,-4,adjective,Germanic,non-imitative,no
15543,better,W279,written,0,adjective,Germanic,non-imitative,no
15544,better,W380,written,0,adjective,Germanic,non-imitative,no
15545,better,W268,written,-1,adjective,Germanic,non-imitative,no
15546,better,W264,written,0,adjective,Germanic,non-imitative,no
15547,better,W374,written,0,adjective,Germanic,non-imitative,no
15560,big,W344,written,5,adjective,other,NA,yes
15561,big,W335,written,1,adjective,other,NA,yes
15562,big,W291,written,-2,adjective,other,NA,yes
15563,big,W235,written,-4,adjective,other,NA,yes
15564,big,W233,written,3,adjective,other,NA,yes
15565,big,W257,written,-3,adjective,other,NA,yes
15566,big,W253,written,5,adjective,other,NA,yes
15567,big,W365,written,0,adjective,other,NA,yes
15568,big,W294,written,2,adjective,other,NA,yes
15569,big,W244,written,5,adjective,other,NA,yes
15570,big,W248,written,0,adjective,other,NA,yes
15596,black,W135,written,-4,adjective,Germanic,non-imitative,yes
15597,black,W199,written,1,adjective,Germanic,non-imitative,yes
15598,black,W162,written,2,adjective,Germanic,non-imitative,yes
15599,black,W131,written,5,adjective,Germanic,non-imitative,yes
15600,black,W179,written,4,adjective,Germanic,non-imitative,yes
15601,black,W436,written,1,adjective,Germanic,non-imitative,yes
15602,black,W435,written,0,adjective,Germanic,non-imitative,yes
15603,black,W432,written,1,adjective,Germanic,non-imitative,yes
15604,black,W441,written,1,adjective,Germanic,non-imitative,yes
15605,black,W439,written,0,adjective,Germanic,non-imitative,yes
15606,black,W1,written,5,adjective,Germanic,non-imitative,yes
15607,black,W150,written,5,adjective,Germanic,non-imitative,yes
15608,black,W433,written,-1,adjective,Germanic,non-imitative,yes
15609,black,W195,written,-1,adjective,Germanic,non-imitative,yes
15610,black,W60,written,0,adjective,Germanic,non-imitative,yes
15611,black,W198,written,-3,adjective,Germanic,non-imitative,yes
15612,black,W114,written,5,adjective,Germanic,non-imitative,yes
15613,black,W172,written,0,adjective,Germanic,non-imitative,yes
15614,black,W205,written,0,adjective,Germanic,non-imitative,yes
15615,black,W204,written,3,adjective,Germanic,non-imitative,yes
15616,black,W196,written,1,adjective,Germanic,non-imitative,yes
15659,blue,W151,written,0,adjective,Latinate,NA,no
15660,blue,W433,written,1,adjective,Latinate,NA,no
15661,blue,W115,written,0,adjective,Latinate,NA,no
15662,blue,W135,written,-1,adjective,Latinate,NA,no
15663,blue,W160,written,-2,adjective,Latinate,NA,no
15664,blue,W432,written,0,adjective,Latinate,NA,no
15665,blue,W438,written,1,adjective,Latinate,NA,no
15666,blue,W81,written,1,adjective,Latinate,NA,no
15667,blue,W207,written,1,adjective,Latinate,NA,no
15668,blue,W48,written,3,adjective,Latinate,NA,no
15669,blue,W51,written,0,adjective,Latinate,NA,no
15670,blue,W200,written,0,adjective,Latinate,NA,no
15671,blue,W209,written,0,adjective,Latinate,NA,no
15672,blue,W437,written,0,adjective,Latinate,NA,no
15673,blue,W29,written,-5,adjective,Latinate,NA,no
15817,broken,W21,written,-1,adjective,Germanic,non-imitative,no
15818,broken,W130,written,5,adjective,Germanic,non-imitative,no
15819,broken,W28,written,5,adjective,Germanic,non-imitative,no
15820,broken,W32,written,3,adjective,Germanic,non-imitative,no
15821,broken,W143,written,3,adjective,Germanic,non-imitative,no
15822,broken,W96,written,1,adjective,Germanic,non-imitative,no
15823,broken,W137,written,0,adjective,Germanic,non-imitative,no
15824,broken,W106,written,2,adjective,Germanic,non-imitative,no
15825,broken,W168,written,-2,adjective,Germanic,non-imitative,no
15826,broken,W144,written,-5,adjective,Germanic,non-imitative,no
15827,broken,W177,written,5,adjective,Germanic,non-imitative,no
15828,broken,W95,written,2,adjective,Germanic,non-imitative,no
