Word,Year,OED_OriginPOS,OriginForm,OriginYear,Comment,Origin
abrasive,1601,adj,,,abrade (v.) was later,Latin borrowing
absorbent,1694,adj,,,"absorb (v.) was earlier, but absorbent appears to be based on a direct borrowing from Latin",Latin borrowing
aching,?a1200,verb,ache,eOE/OE/a1225,,Germanic
acidic,1868,noun,acid,1626,"acid (adj.) was in fact earlier, but this one is based on noun",Latin borrowing
acrid,1633,adj,,,appears to be a new formation or a borrowing from Latin acris,Latin borrowing
adhesive,1661,adj,,,directly borrowed as adjective,French borrowing
alcoholic,1732,noun,alcohol,1543,,Latin borrowing
alive,OE/c1250,adj,,,on + dative of life,Germanic
amber,1398,noun/adj same form,,,directly borrowed as adjective,French borrowing
angular,1597,adj,,,"appears to be straight from latin, or perhaps formation angle + ar suffix",unclear
antiseptic,1751,adj,,,directly borrowed as adjective,Greek borrowing
aromatic,1366,adj,,,directly borrowed as adjective,French borrowing
astringent,?1541,adj,,,astringe may be earlier but appears to be based on Latin,French borrowing
audible,1483,adj,,,directly borrowed as adjective,Latin borrowing
banging,?1570,verb,bang,?c1550,,unclear
barbecued,1737,verb,barbecue,1661,,Spanish borrowing
barking,1552,verb,bark,c885,,Germanic
beautiful,c1443,noun,beauty,c1325,,Anglo-Norman
beeping,1958,verb,beep (v.),1936,,imitative
beery,1848,noun,beer,c1000,,Germanic
beige,1858,adj,,,directly borrowed as adjective,French borrowing
bent,c1330,verb,bend,c1000,,Germanic
big,c1300,adj,,,,origin unknown
biscuity,1892,noun,biscuit,1330,,French borrowing
bitter,OE/c1175,adj,,,could have verbal origins,Germanic
black,eOE,adj,,,could have verbal origins,Germanic
bland,1661,adj,,,directly borrowed as adjective,Latin borrowing
blaring,1566,verb,blare,c1440,,probably Germanic
bleeping,1957,verb,bleep (n.),1953,,imitative
blonde,1481,adj,,,directly borrowed as adjective,French borrowing
bloody,eOE,adj,,,"probably derives from ""blood"" (n.) but is still counted as adj because it appears as adjective as far as we can go back in the history of Germanic (+ it's cognate with 'blutig' and other Germanic forms)",Germanic
blotchy,1824,noun,blotch,1604,,probably imitative
blue,c1300,adj,,,directly borrowed as adjective,Anglo-Norman
blunt,?c1200,adj,,,,origin unknown
boiling,c1320,verb,boil,c1612,,French borrowing
booming,1625,verb,,1875,,possibly imitative
bouncy,1921,verb,bounce,?a1200,,unclear
brackish,a1552,adj,brack (adj.),,,probably Dutch
branching,a1382,noun,branch (n.),a1300,,French borrowing
breakable,1570,verb,break,a1000,,Germanic
breezy,1717,noun,breeze,1589,,probably Spanish
bright,OE,adj,,,,Germanic
brilliant,1681,adj,,,directly borrowed as adjective,French borrowing
briny,1608,noun,brine,a1000,,probably Germanic
bristly,1591,noun,bristle,a1000,HAIR,Germanic
brittle,a1382,verb,brit (v.),OE,good example: to chop in pieces,Germanic
broad,OE/971,adj,,,,Germanic
broken,737/c1200,adj,,,,Germanic
bronze,1617,adj/noun,,,directly borrowed as adjective,French borrowing
brown,a1000,adj,,,,Germanic
brunette,1712,adj/noun,,,directly borrowed as adjective,French borrowing
bulky,1672,noun,bulk (n.),c1410,,unclear
bumpy,1865,noun or verb,,1611,,imitative
burning,c1000,verb,burn (v.),c1000,,Germanic
burnt,?a1300,verb,burn (v.),c1000,,Germanic
bursting,a1000,verb,burst (v.),OE,,Germanic
buttery,1398,noun,butter,c1000,,Latin borrowing
buzzing,1556,verb,buzz (v.),,this is a fun entry: Etymology:  < the sound.,imitative
caramelized,1846,verb,caramelize (v.),,,French borrowing
charred,1794,verb,char (v.),1686,probably backformation of charcoal,unclear
cheesy,1398,noun,cheese (n.),a1000,,Germanic
checkered,1486,noun,chequer (n.),?c1300,,Anglo-Norman
chewy,1925,verb,chew (v.),OE/c1000,,Germanic
chilly,1567,noun,chill (n.),c825,,Germanic
chocolatey,1965,noun,chocolate,1604,,French borrowing
chubby,1611,noun,chub (n.),1496,,origin unknown
circular,1430,adj/noun,,,,Anglo-Norman
citrusy,1945,noun,citrus,a1400,,Latin borrowing
clammy,1398,adj,,,,unclear
clamorous,1526,noun,clamour,c1385,"could also be an direct borrowing from Latin (i.e., unrelated to clamorous)",French borrowing
clean,883,adj,,,,Germanic
clear,1297,adj,,,directly borrowed as adjective,French borrowing
cloudy,c893,adj/noun,cloud,c893,,probably Germanic
cloying,1647,verb,cloy,?c1400,,possibly French borrowing
coconutty,NA,NA,,,,
cold,c950,adj,,,,Germanic
colossal,1664,adj,,,but collosus was earlier; but it seems to be a direct borrowing,French borrowing
colorful,1848,noun,colour,c1300,,Anglo-Norman
compact,1398,adj,,,directly borrowed as adjective,Latin borrowing
conical,1570,adj,,,directly borrowed as adjective,Greek borrowing
contoured,1725,noun,contour (n.),1662,,French borrowing
cooing,1665,verb,verb,,,imitative
cool,eOE/OE/a1300,adj,,,,Germanic
crackling,1567,verb,crack (v.),c1000,interesting definition for R,Germanic
craggy,1447,noun,crag,a1375,,possibly Celtic
crashing,1574,verb,crash,?a1400,,imitative
creaking,1568,verb,creak,c1325,,imitative
creamy,1610,noun,cream,1332,,French borrowing
creased,1545,noun or verb,crease,1578,,origin unknown
crimson,1416,adj/noun,,,directly borrowed as adjective,Anglo-Norman
crinkled,1558,verb,crinkle,c1386,,probably Germanic
crisp,c900,adj,,,HAIR,Germanic
crooked,c1175,noun or verb,crook,,,probably Scandinavian
crowded,1612,verb,crowd,OE/937,,Germanic
crunching,1847,verb,crunch,1632,"A recent variation of cranch, craunch n., perhaps intended to express a more subdued and less obtrusive sound, perhaps influenced by association with crush, munch","unclear, partly imitative"
crying,1398,verb,cry,?a1200,,French borrowing
curly,1774,verb,curl,c1380,through noun,probably Germanic
curved,1723,verb,curve (v.),1594,,Latin borrowing
cute,1731,adj,acute,a1398,shortened from acute,Latin borrowing
damp,1637,noun,damp (n.),1480,quite mysterious,unclear
dank,?a1400,adj,,,,unclear
dappled,c1400,adj,,,could have been verb before,unclear
dark,OE/c1000,adj,,,not clear what POS was first,probably Germanic
dazzling,1571,verb,daze,c1400-1450,diminutive of daze,probably Scandinavian
dead,c950,adj,,,,Germanic
deafening,a1616,verb,deaf,c825,deafening < deafen < deaf; deaf was a common adjective; coded as verb origin due to morphology and time gap; verbal origin seems primary,Germanic
deep,854,adj,,,,Germanic
delicious,c1300,adj,,,directly borrowed as adjective,French borrowing
dim,OE/a1000,adj,,,,probably Germanic
dirty,15..,noun,dirt,a1300,,unclear
downy,1548,noun,down,c1369,,Old Norse
drab,1541,noun/adj same form,,,HAIR,unclear
dry,c888,adj,,,,Germanic
dull,OE/c975,adj,,,,probably Germanic
dusty,a1225,noun,dust,c825,,Germanic
earthy,a1398,noun,earth,OE/?c1200,,Germanic
echoing,1667,verb,echo (n.),1340,verb 'to echo' (a1616),Latin borrowing
eggy,1709,noun,egg,805-831,,Germanic
elastic,1653,noun/adj same form,,,,Latin borrowing
elegant,c1475,adj,,,directly borrowed as adjective,French borrowing
empty,eOE/OE/?a1200,adj,,,,Germanic
enormous,a1533,adj,,,directly borrowed as adjective,Latin borrowing
faint,c1300,adj,,,directly borrowed as adjective,French borrowing
falling,?c1225,verb,fall,OE/c890,,Germanic
fat,c893,adj/noun,,,,Germanic
fatty,1398,noun,fat,OE/c950,,Germanic
feverish,1398,noun,fever,c1000,,Latin borrowing
filthy,1382,noun,filth,c1000,,Germanic
fishy,1552,noun,fish,c825,,Germanic
flaky,1580,noun,flake,,,unclear
flat,1296,adj,,,,Old Norse
flavorsome,1853,noun,flavour,?c1380,,probably French
fleshy,c1369,noun,flesh,c1000,,unclear
flickering,1430,verb,flicker,c1000,,imitative
floppy,1858,verb,flop,1602,"onomatopoetic variant of flap, which is itself 'probably of onomatopoetic origin' (1362)",imitative
floral,1647,adj,,,directly borrowed as adjective,Latin borrowing
flowery,c1374,noun,flower,?a1200,,French borrowing
fluffy,1825,noun,fluff,1790,,probably imitative
foamy,OE,noun,foam,a700,already adjective in Old English,Germanic
fetid,1599,adj,,,directly borrowed as adjective,Latin borrowing
foggy,a1529,noun,fog,?c1380,,origin unknown
forked,a1325,noun,fork,c1000,,Latin borrowing
fragrant,?1521,adj,,,directly borrowed as adjective,French borrowing
freezing,a1420,verb,freeze,971,,Germanic
fresh,c893,adj,,,,Germanic
frosty,OE,adj,,,"ultimately de-nominal, already adjective in Germanic",Germanic
fruity,1657,noun,fruit,c1175,,French borrowing
fuzzy,1613,noun,fuzz,1601,,probably imitative
gamy,1752,noun,game,eOE/OE/?a1200,entry of 'game (adj.)',Germanic
garlicky,1775,noun,garlick,c1000,,Germanic
gigantic,1612,adj,,,,Latin borrowing
giggling,1576,verb,giggle,1509,,imitative
glamorous,1882,noun,glamour,?17..,,Scottish
gleaming,?c1380,noun,gleam,OE,through verb and noun,Germanic
glistening,1388,verb,glisten,c1000,,Germanic
glittery,1880,adj,,c825,"through noun then adj, with smooth unimpeded motion!",Germanic
globular,1626,adj,,,directly borrowed as adjective,Latin borrowing
glossy,1556,noun,gloss,1538,,unclear
glowing,c1000,verb,glow,c1000,,Germanic
gold,c725,noun/adj same form,,,,Germanic
gooey,1906,noun,goo,1903,,unclear
gorgeous,1496,adj,,,directly borrowed as adjective,French borrowing
grainy,1611,noun,,1398,,French borrowing
grassy,1513,noun,,c725/OE,,Germanic
greasy,?1518,noun,grease,c1290,,French borrowing
green,eOE/OE/?1200,adj,,,,Germanic
gray,eOE/OE/?1200,adj,,,,Germanic
gritty,1598,noun,grit,OE/?a1200,,Germanic
groaning,1398,verb,groan,c1000,,Germanic
grotesque,1561,noun/adj same form,,,,French borrowing
growling,1705,verb,growl,a1667,,probably imitative
grubby,1725,verb,grub,a1325,"through noun, ultimately verb",probably Germanic
gurgling,1595,verb,gurgle,1562,could also be borrowed or cognate,possibly imitative
hairy,a1325,noun,hair,a800,,Germanic
handsome,1440,noun,hand,eOE/OE/c1200,,Germanic
happy,a1387,noun,hap,?c1200,,probably Scandinavian
hard,eOE/O/?a1200,adj,,,,Germanic
harsh,a1325,adj,,,,unclear
hazy,1625,adj,,,haze is probably a backformation from hazy,unclear
heavy,c825,adj,,,,Germanic
herby,1552,noun,herb,c1290,h was mute,French borrowing
high,OE/?a1200,adj,,,,Germanic
hissing,a1547,verb,hiss,c1400,,imitative
hoarse,a1000,adj,,,written evidence for the r forms is later; did the r get added on?,Germanic
hollow,c1250,noun/adj same form,hollow,c897,,Germanic
honeyed,?c1380,noun,honey,eOE/OE/c1150,,Germanic
hot,eOE/OE/c1200,adj,,,,Germanic
howling,1593,verb,howl,c1220,,imitative
huge,a1275,adj,,,,origin unknown
humid,c1550,adj,,,directly borrowed as adjective,French borrowing
hushed,1602,adj,husht,1400-1430,,imitative
