Word,Iconicity
asleep,0.454545455
awake,2.1
bad,0.5625
better,-0.1
big,1.090909091
black,1.19047619
blue,-0.066666667
broken,1.5
brown,0.571428571
cold,1.5
cute,2.083333333
dark,1.181818182
dirty,1
empty,0.8
fast,2.166666667
fine,-0.461538462
first,1.3
full,1.785714286
gentle,2.642857143
good,0.928571429
green,1.1
happy,2.076923077
hard,3.692307692
heavy,1.1
high,2.636363636
hot,2
hungry,1.285714286
hurt,0.9
last,0.615384615
little,1.15
long,0.090909091
loud,1.2
mad,0.733333333
naughty,0.4
new,-0.285714286
nice,0.8125
noisy,1.4
old,1.266666667
other,-0.083333333
poor,-1.2
pretty,2
quiet,1
red,1.833333333
sad,1.769230769
same,0
scared,1.384615385
sick,2
sleepy,1.416666667
slow,1.636363636
soft,2.333333333
sticky,2.928571429
stuck,1.583333333
thirsty,1.764705882
tiny,3.363636364
tired,0.166666667
wet,2.25
white,0.5
windy,3.4
yellow,0.5
yucky,3.461538462
bye,1.583333333
hello,2.1
hi,0.8
no,2.8125
thanks,1.416666667
yes,2.25
a,0.461538462
about,-0.1
above,1.0625
after,0.75
all,-0.1
am,0.583333333
an,-0.642857143
and,0.5625
another,0.117647059
any,-0.3125
are,-0.9
around,0.6
at,-0.166666667
away,0.75
be,0.384615385
because,0.214285714
before,-0.5
behind,1.545454545
but,0
by,0.272727273
could,-1.454545455
did,0.466666667
do,0.846153846
does,-0.6
down,1.909090909
each,0.666666667
every,0.25
for,-1.4
gonna,-0.4
gotta,0
he,1.058823529
her,0.7
here,-0.2
hers,1.214285714
him,0.583333333
his,0.588235294
how,0.461538462
I,3.181818182
if,0.636363636
in,1.461538462
inside,0.9
into,-0.823529412
is,-0.142857143
it,1
later,-0.3
lemme,-0.9
me,0.6
mine,1.5
more,1.125
much,0.416666667
my,1.5
none,0.833333333
not,1.384615385
now,1.461538462
of,0.230769231
off,1.9
on,0.916666667
our,-0.909090909
out,0.923076923
over,0.8
she,0.714285714
so,0.909090909
some,0.5
that,-0.0625
the,0.428571429
their,-1
them,-0.692307692
then,0.1875
there,0.461538462
these,-0.214285714
they,0.454545455
this,0.133333333
those,0.272727273
to,-0.416666667
too,1
try,-0.294117647
under,1.176470588
up,1.333333333
us,-0.769230769
wanna,0.333333333
was,-0.833333333
we,1.428571429
were,0.6
what,0.142857143
when,-1.125
where,-0.818181818
which,0.090909091
who,1.375
why,0.769230769
will,0.214285714
with,1.166666667
would,-2.1
you,-0.4
your,0
yourself,0.333333333
alligator,1.090909091
animal,-0.933333333
ankle,0.466666667
ant,0.6
apple,0.083333333
arm,0.2
aunt,0.2
baby,2.230769231
back,0.4
ball,0.75
balloon,1.714285714
banana,1
basement,0.818181818
basket,-0.166666667
bat,0.153846154
bath,0.3
beach,-0.214285714
beads,1.454545455
beans,0.375
bear,-0.25
bed,0.416666667
bee,1.545454545
belt,1.2
bench,-0.916666667
bib,0.083333333
bird,0.727272727
blanket,0.117647059
block,2.428571429
boat,1.142857143
book,0.090909091
boots,0.4
bottle,0.5
bowl,1.5
box,0.5625
boy,1.7
bread,0.333333333
breakfast,0.916666667
broom,0.571428571
brother,0.4
brush,1.727272727
bubbles,2.5
bucket,-0.529411765
bug,1.9
bunny,0.4
bus,-0.928571429
butter,0.545454545
buttocks,0.25
button,0.5
cake,0.461538462
camera,1.333333333
camping,0.636363636
candy,1.117647059
car,0.466666667
carrots,0.5
cat,0.538461538
cereal,0.214285714
chair,0.0625
chalk,0.636363636
cheek,1.3
cheerios,1.916666667
cheese,-0.363636364
child,0.933333333
chin,1.333333333
chocolate,0.545454545
church,0.076923077
circus,0.6
clock,0.611111111
closet,1.4375
cloud,1
clown,0.153846154
coat,-0.8
coffee,1.3
coke,1
comb,-0.066666667
cookie,0.454545455
corn,0.307692308
couch,-0.166666667
country,-0.529411765
cow,1.454545455
cracker,0.583333333
crayon,0.818181818
crib,-0.411764706
cup,1.538461538
daddy,1.428571429
day,-0.153846154
deer,-0.444444444
diaper,-0.272727273
dinner,0.263157895
dish,0.75
doctor,1.6
dog,1.272727273
doll,-0.428571429
donkey,0.842105263
donut,0.181818182
door,1.272727273
drawer,-0.923076923
dress,0
dryer,1.555555556
duck,0.3
ear,1.1
egg,1.818181818
elephant,2.142857143
eye,1
face,0.272727273
farm,-0.105263158
feet,0.357142857
finger,0.181818182
flag,-0.785714286
flower,-0.083333333
food,1.071428571
fork,0.818181818
friend,0.818181818
frog,2.181818182
game,0.066666667
garage,0.133333333
garbage,0.333333333
garden,-0.1875
giraffe,-1.19047619
girl,0.636363636
glass,0.8
glasses,0.416666667
gloves,-1.1
glue,0.6
goose,0.230769231
grapes,-0.8125
grass,1.1
gum,1.6
hair,-0.416666667
